stop_id,year,average_lateness,stop_lat,stop_lon,cluster,date
1533,2022,399.027585553133,42.329739,-71.128527,4,2022-01-01
1535,2022,426.4129981024668,42.326526,-71.143465,4,2022-01-01
1540,2022,450.61277804070045,42.32361,-71.163925,4,2022-01-01
1555,2022,387.47302063278414,42.331641,-71.116532,4,2022-01-01
1563,2022,514.5559750297265,42.346694,-71.098982,4,2022-01-01
1577,2022,315.6915724933878,42.32505,-71.075288,4,2022-01-01
1583,2022,360.1666466418359,42.314697,-71.078834,4,2022-01-01
1586,2022,378.3815268275117,42.310143,-71.082173,4,2022-01-01
1587,2022,344.5190091504269,42.303124,-71.08595,4,2022-01-01
1773,2022,375.0552127314063,42.349273,-71.109993,4,2022-01-01
1775,2022,571.4770104068117,42.346727,-71.105259,4,2022-01-01
1778,2022,646.4963075175157,42.340455,-71.105828,4,2022-01-01
1779,2022,371.29497005988026,42.338701,-71.107013,4,2022-01-01
1780,2022,675.5671077504726,42.337436,-71.104448,4,2022-01-01
1784,2022,439.5698157453936,42.337416,-71.095079,4,2022-01-01
1799,2022,503.5105291689254,42.337523,-71.095101,4,2022-01-01
1804,2022,532.5005054356501,42.339097,-71.106836,4,2022-01-01
1807,2022,387.5722703001289,42.345214,-71.104266,4,2022-01-01
1808,2022,384.40466849744996,42.3471,-71.105198,4,2022-01-01
1939,2022,378.79268375912824,42.309949,-71.115345,4,2022-01-01
1994,2022,578.5137626262626,42.346188,-71.152449,4,2022-01-01
2187,2022,316.18912703523137,42.390896,-71.156152,4,2022-01-01
2271,2022,344.0890636120243,42.397954,-71.130684,4,2022-01-01
2291,2022,399.606124527204,42.423592,-71.17585,4,2022-01-01
2321,2022,545.3871449925261,42.396361,-71.12889,4,2022-01-01
2531,2022,359.9746675491907,42.378346,-71.094513,4,2022-01-01
2561,2022,359.31640391332036,42.363592,-71.129142,4,2022-01-01
2910,2022,319.9302759823535,42.317228,-71.065045,4,2022-01-01
2913,2022,324.2139737991266,42.311271,-71.070413,4,2022-01-01
2919,2022,395.7955877283695,42.305519,-71.080507,4,2022-01-01
2925,2022,345.22701537787196,42.305402,-71.080253,4,2022-01-01
2931,2022,402.10455773866045,42.31118,-71.070077,4,2022-01-01
2933,2022,502.36560108059433,42.317122,-71.064572,4,2022-01-01
2935,2022,375.2851998399502,42.319915,-71.062177,4,2022-01-01
3128,2022,378.30783063593265,42.278324,-71.027046,4,2022-01-01
3136,2022,368.2887615409105,42.286979,-71.023727,4,2022-01-01
3476,2022,384.6109524609441,42.264971,-71.020386,4,2022-01-01
4526,2022,440.11403373046574,42.409969,-71.001815,4,2022-01-01
5089,2022,366.0360179612114,42.33556,-71.072264,4,2022-01-01
5091,2022,482.99488320355954,42.337629,-71.072068,4,2022-01-01
5790,2022,948.438596491228,42.409716,-71.010688,4,2022-01-01
6368,2022,442.4404416037188,42.267439,-71.094318,4,2022-01-01
6378,2022,373.9927455357143,42.2563,-71.12069,4,2022-01-01
6390,2022,494.0885323265691,42.256279,-71.120718,4,2022-01-01
