route_id,month,lateness,size,average_lateness
193,2018-10,185043.0,443,417.70428893905193
193,2018-11,187024.0,425,440.0564705882353
193,2018-12,153935.0,415,370.9277108433735
194,2018-08,18606.0,227,81.9647577092511
194,2018-09,35611.0,231,154.16017316017317
194,2018-10,45714.0,228,200.5
194,2018-11,17729.0,222,79.86036036036036
194,2018-12,-1365.0,240,-5.6875
195,2018-08,-14646.0,92,-159.19565217391303
195,2018-09,27095.0,87,311.4367816091954
195,2018-10,38162.0,88,433.65909090909093
195,2018-11,16712.0,86,194.32558139534885
195,2018-12,13959.0,87,160.44827586206895
201,2018-08,1723373.0,7602,226.69994738226785
201,2018-09,1932133.0,6823,283.179393228785
201,2018-10,1743367.0,7533,231.4306385238285
201,2018-11,1615154.0,7177,225.0458408805908
201,2018-12,1216349.0,7064,172.18983578708946
202,2018-08,1505739.0,5604,268.6900428265525
202,2018-09,1527952.0,5101,299.5396980984121
202,2018-10,1403357.0,5699,246.2461835409721
202,2018-11,1514754.0,5314,285.04968009032746
202,2018-12,1195054.0,5105,234.09480901077376
21,2018-08,2730611.0,17420,156.75149253731342
21,2018-09,5466616.0,16194,337.570458194393
21,2018-10,5841470.0,18361,318.14552584281904
21,2018-11,4553464.0,17185,264.967355251673
21,2018-12,3531853.0,16627,212.41673182173577
210,2018-08,1408825.0,6048,232.94064153439157
210,2018-09,1848639.0,5260,351.4522813688213
210,2018-10,1632889.0,6123,266.6812020251511
210,2018-11,1676423.0,5646,296.92224583776124
210,2018-12,1210800.0,5297,228.58221634887673
211,2018-08,1617457.0,5680,284.7635563380282
211,2018-09,1868437.0,5491,340.27262793662356
211,2018-10,1870997.0,6024,310.59047144754317
211,2018-11,1500112.0,5658,265.13114174620006
211,2018-12,1189105.0,5483,216.87123837315335
212,2018-08,450370.0,1942,231.9104016477858
212,2018-09,652189.0,1828,356.777352297593
212,2018-10,599518.0,2005,299.01147132169575
212,2018-11,551951.0,1880,293.5909574468085
212,2018-12,521908.0,1837,284.1088731627654
214,2018-08,1253212.0,5698,219.93892593892593
214,2018-09,1503424.0,4970,302.49979879275656
214,2018-10,1712285.0,6005,285.14321398834306
214,2018-11,1379940.0,5576,247.47847919655663
214,2018-12,1118126.0,5101,219.19741227210352
215,2018-08,6094527.0,15327,397.6333920532394
215,2018-09,7491834.0,14377,521.09856020032
215,2018-10,6887888.0,15638,440.4583706356311
215,2018-11,6210378.0,14703,422.3884921444603
215,2018-12,5004877.0,14279,350.50612788010363
216,2018-08,2366903.0,11159,212.10708844878573
216,2018-09,3180288.0,10740,296.11620111731844
216,2018-10,2745748.0,11599,236.72282093283903
216,2018-11,2208507.0,10930,202.0591948764867
216,2018-12,2018099.0,10858,185.8628660895193
217,2018-08,266983.0,1161,229.95951765719207
217,2018-09,423401.0,1001,422.9780219780219
217,2018-10,361834.0,1215,297.8057613168724
217,2018-11,375683.0,1105,339.9846153846154
217,2018-12,220851.0,1005,219.75223880597017
22,2018-08,10582021.0,44076,240.0857836464289
22,2018-09,15773538.0,43197,365.15355233002293
22,2018-10,14162785.0,45891,308.61792072519665
22,2018-11,11750561.0,42661,275.4403553596962
22,2018-12,9875279.0,45051,219.2022152671417
220,2018-08,4330781.0,14786,292.8974029487353
220,2018-09,4930896.0,14040,351.2034188034188
220,2018-10,4784450.0,15321,312.2805299915149
220,2018-11,3811792.0,14520,262.5201101928375
220,2018-12,3168687.0,14449,219.30147415046025
221,2018-08,231118.0,895,258.2324022346369
221,2018-09,382558.0,743,514.8829071332436
221,2018-10,327059.0,899,363.8031145717464
